dataset,task,algo,buildtime,querytime,params,file,software,ram-process-max,ram-system-max,cpu-process-max,cpu-system-max,process-wallclock,recall_description,recall
wikipedia-small,task1,PlainLocalSearch,5.5450310707092285,20.121599197387695,"Qb=120, Qn=64, k=72, Ln=1",,"{""display_name"": ""PlainLS-config-1-local-compile"", ""command"": ""python3 entrypoint.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""plain-local-search"", ""description"": ""Qb = 120, Qn = 64, k = 72, Ln = 1"", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""87beef9affcea89826e26cb0a43503ab24c42cd0"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:henrixapp/low-dim-faiss.git"", ""href"": ""https://github.com/henrixapp/low-dim-faiss/tree/87beef9affcea89826e26cb0a43503ab24c42cd0""}], ""public_image_name"": null, ""mount_config"": null}",6651,414018,10,18,26540 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.875049
wikipedia-small,task1,PlainLocalSearch,1.5864760875701904,14.005976676940918,"Qb=128, Qn=32, k=40, Ln=2",,"{""display_name"": ""PlainLS-config-11"", ""command"": ""python3 entrypoint.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""plain-local-search"", ""description"": ""Qb = 128, Qn = 32, k = 40, Ln = 2 (76+%)"", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""f86acbb4f5de48c0a4ae060de600afe9fcfef4f5"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:henrixapp/low-dim-faiss.git"", ""href"": ""https://github.com/henrixapp/low-dim-faiss/tree/f86acbb4f5de48c0a4ae060de600afe9fcfef4f5""}], ""public_image_name"": null, ""mount_config"": null}",6553,413441,232,19,16609 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.810196
wikipedia-small,task1,PlainLocalSearch,4.759304523468018,15.627290725708008,"Qb=128, Qn=64, k=64, Ln=2",,"{""display_name"": ""PlainLS-config-3"", ""command"": ""python3 entrypoint.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""plain-local-search"", ""description"": ""Qb = 128, Qn = 64, k = 64, Ln = 2"", ""source_code_active_branch"": ""qsort_good"", ""source_code_commit"": ""f2b07b6b4bb8b40b9bb5d52c65e828535aa9ecd3"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:henrixapp/low-dim-faiss.git"", ""href"": ""https://github.com/henrixapp/low-dim-faiss/tree/f2b07b6b4bb8b40b9bb5d52c65e828535aa9ecd3""}], ""public_image_name"": null, ""mount_config"": null}",6606,414004,232,19,21384 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.8560416666666667
,task1,FalconnLite+NNDescent,18.743985373992473,112.56619085138664,"n_repeat=6,D=512,m=50,iteration=5,runs=6,k_out=15",,"{""display_name"": ""gilded-decision"", ""command"": ""python3 SISAP/SISAP_task1.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""lzen402"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""d6d58b9226b1a3ec689001c6ca962b679e761081"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:NinhPham/FalconnLite.git"", ""href"": ""https://github.com/NinhPham/FalconnLite/tree/d6d58b9226b1a3ec689001c6ca962b679e761081""}], ""public_image_name"": null, ""mount_config"": null}",7585,513039,20,55,788557 ms,"Results shape (200000, 20) is neither 200000x15 nor 200000x16",-1
wikipedia-small,task1,R-trunks,29.922975301742554,1,"neighbour_table_size=(38),reverse_table_size=(76),block_size=(512),num_hashes=(12),c=(2147483647) ,delta=(1),ground_truth_width=(15)",,"{""display_name"": ""hampynn-local-compile"", ""command"": ""uv run main.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""abbbe421dfb4e41e348ce334774e2fc917de00d3"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:MetricSearch/r-trunks.git"", ""href"": ""https://github.com/MetricSearch/r-trunks/tree/abbbe421dfb4e41e348ce334774e2fc917de00d3""}], ""public_image_name"": null, ""mount_config"": null}",5877,494424,19,49,39754 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.806682
wikipedia-small,task1,PlainLocalSearch,4.363574504852295,16.01845932006836,"Qb=128, Qn=64, k=64, Ln=3",,"{""display_name"": ""PlainLS-config-4"", ""command"": ""python3 entrypoint.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""plain-local-search"", ""description"": ""Qb = 128, Qn = 64, k = 64, Ln = 3 (triangle 1/2)"", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""14686157f17b09bf29d7e0ac8a8956d13ebe66ae"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:henrixapp/low-dim-faiss.git"", ""href"": ""https://github.com/henrixapp/low-dim-faiss/tree/14686157f17b09bf29d7e0ac8a8956d13ebe66ae""}], ""public_image_name"": null, ""mount_config"": null}",6549,414030,10,19,21403 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.852372
wikipedia-small,task1,PlainLocalSearch,6.139374732971191,20.722517013549805,"Qb=128, Qn=64, k=80, Ln=1",,"{""display_name"": ""PlainLS-config-7"", ""command"": ""python3 entrypoint.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""plain-local-search"", ""description"": ""Qb = 128, Qn = 64, k = 80, Ln = 1 (81+%)"", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""4882913c327a6acc7d46e08d902f7236b5415c84"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:henrixapp/low-dim-faiss.git"", ""href"": ""https://github.com/henrixapp/low-dim-faiss/tree/4882913c327a6acc7d46e08d902f7236b5415c84""}], ""public_image_name"": null, ""mount_config"": null}",6533,414418,19,18,27859 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.887549
wikipedia-small,task1,R-trunks,27.261870861053467,1,"neighbour_table_size=(33),reverse_table_size=(66),block_size=(512),num_hashes=(10),c=(2147483647) ,delta=(1),ground_truth_width=(15)",,"{""display_name"": ""sparse-viper"", ""command"": ""uv run main.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""dee6dc64089f7dc0ffb2c07fe3bade283841de18"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:MetricSearch/r-trunks.git"", ""href"": ""https://github.com/MetricSearch/r-trunks/tree/dee6dc64089f7dc0ffb2c07fe3bade283841de18""}], ""public_image_name"": null, ""mount_config"": null}",5824,494544,10,60,36972 ms,"Ok, Results shape (200000, 15): assumed no self-loops, comparing columns [0:15]",0.7682343333333334
wikipedia-small,task1,LMIIVF,375.604453086853,215.5076150894165,"index=(LMI32+IVF256SQ8),query=(nprobe=4,ivf_nprobe_total=16,discard=True)",,"{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6320,512279,19,55,10138167 ms,"OK, Results shape (200000, 16): assumed self-loops, comparing columns [1:16]",0.7384683333333333
wikipedia-small,task1,LMIIVF,375.604453086853,126.03564167022705,"index=(LMI32+IVF256SQ8),query=(nprobe=16,ivf_nprobe_total=8,discard=True)",,"{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6320,512279,19,55,10138167 ms,"OK, Results shape (200000, 16): assumed self-loops, comparing columns [1:16]",0.6414656666666667
