dataset,task,algo,buildtime,querytime,params,file,software,ram-process-max,ram-system-max,cpu-process-max,cpu-system-max,process-wallclock,recall_description,recall
llama-pg174,task2,faissIVF,5.521852016448975,0.0977320671081543,"index=(IVF1024,SQfp16),query=(nprobe=2)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.37146666666666667
llama-pg174,task2,faissIVF,5.521852016448975,0.19777536392211914,"index=(IVF1024,SQfp16),query=(nprobe=100)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.9509
llama-pg174,task2,faissIVF,5.521852016448975,0.09905362129211426,"index=(IVF1024,SQfp16),query=(nprobe=1)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.24883333333333332
llama-pg174,task2,faissIVF,5.521852016448975,1.3965988159179688,"index=(IVF1024,SQfp16),query=(nprobe=1000)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.9665333333333334
llama-pg174,task2,faissIVF,5.521852016448975,0.09994316101074219,"index=(IVF1024,SQfp16),query=(nprobe=5)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.5483666666666667
llama-pg174,task2,faissIVF,5.521852016448975,0.09705090522766113,"index=(IVF1024,SQfp16),query=(nprobe=10)",,"{""display_name"": ""python-baseline"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""basel1nerz"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""6b1fefd4cab12bbac5f23d556cd088e196d3a0d9"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:sisap-challenges/sisap26-python-baseline.git"", ""href"": ""https://github.com/sisap-challenges/sisap26-python-baseline/tree/6b1fefd4cab12bbac5f23d556cd088e196d3a0d9""}], ""public_image_name"": null, ""mount_config"": null}",6295,336166,10,18,10463 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.6827
llama-pg174,task2,IVF_MIPS_KMeans,0.984860962,0.048900762,"centroids=1024,nprobe=64,kmeans=5",,"{""display_name"": ""primordial-foremast"", ""command"": ""/app/entrypoint.sh"", ""vm_id"": ""luis"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8ae9cda35f931f8cf8b3c840fa36082ca3abd15d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Luisz1234/SISAP-Challenge"", ""href"": ""https://github.com/Luisz1234/SISAP-Challenge/tree/8ae9cda35f931f8cf8b3c840fa36082ca3abd15d""}], ""public_image_name"": null, ""mount_config"": null}",5820,350327,9,18,1270 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.9264333333333333
llama-pg174,task2,falconn_ouroboros_recall_guarantee,0.113021895,1.290646379,"l=6,hash_bits=16,probes=650,patience=3,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8261,336029,10,16,17356 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.9386333333333333
llama-pg174,task2,falconn_ouroboros_recall_guarantee,0.113021895,0.888432471,"l=6,hash_bits=16,probes=331,patience=5,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8261,336029,10,16,17356 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8970666666666667
llama-pg174,task2,falconn_ouroboros_recall_guarantee,0.113021895,1.074108601,"l=6,hash_bits=16,probes=390,patience=5,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8261,336029,10,16,17356 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.9127666666666666
