dataset,task,algo,buildtime,querytime,params,file,software,ram-process-max,ram-system-max,cpu-process-max,cpu-system-max,process-wallclock,recall_description,recall
fiqa-dev,task3,HaNSWurst,44.688721656799316,3.5582120418548584,ef=174,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9578168872843963
fiqa-dev,task3,HaNSWurst,44.688721656799316,3.0195388793945312,ef=109,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9539911752908142
fiqa-dev,task3,HaNSWurst,44.688721656799316,3.1719324588775635,ef=127,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9554602888086643
fiqa-dev,task3,HaNSWurst,44.688721656799316,3.7943077087402344,ef=203,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9588096670677898
fiqa-dev,task3,HaNSWurst,44.688721656799316,4.330307483673096,ef=276,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9604292017649418
fiqa-dev,task3,HaNSWurst,44.688721656799316,5.434016704559326,ef=440,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9623345367027677
fiqa-dev,task3,HaNSWurst,44.688721656799316,4.657323122024536,ef=323,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9611060970718011
fiqa-dev,task3,HaNSWurst,44.688721656799316,5.022095203399658,ef=377,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9617077817890092
fiqa-dev,task3,HaNSWurst,44.688721656799316,2.8681271076202393,ef=93,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9521911351784998
fiqa-dev,task3,HaNSWurst,44.688721656799316,6.888224124908447,ef=700,,"{""display_name"": ""old02"", ""command"": ""python /app/runner.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""hanswurst"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""16bef0f376cd485ee91e90cf9631bb0c82ff3161"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:eth42/sisap26challenge.git"", ""href"": ""https://github.com/eth42/sisap26challenge/tree/16bef0f376cd485ee91e90cf9631bb0c82ff3161""}], ""public_image_name"": null, ""mount_config"": null}",6103,437925,10,25,111098 ms,"Ok, Results shape (6648, 30): assumed no self-loops, comparing columns [0:30]",0.9635780184516647
